user_id,annotation_id,annotation_sequential_id,note_text_len
1672,3380,1,25
1672,3381,2,
1672,3391,3,
1672,3392,4,
1672,3395,5,
1672,3396,6,
1673,3175,1,529
1673,3176,2,4
1673,3177,3,4
1673,3178,4,549
1673,3179,5,549
1673,3180,6,108
1673,3181,7,48
1673,3182,8,
1673,3183,9,49
1673,3184,10,52
1673,3185,11,
1673,3186,12,
1673,3187,13,67
1673,3188,14,9
1673,3189,15,21
1673,3190,16,
1673,3191,17,
1673,3192,18,
1673,3193,19,71
1673,3194,20,15
1673,3195,21,26
1673,3196,22,4
1673,3288,23,21
1673,3289,24,24
1673,3290,25,27
1673,3291,26,25
1673,3292,27,325
1673,3314,28,72
1673,3322,29,51
1673,3324,30,139
1673,3329,31,66
1673,3330,32,66
1673,3334,33,58
1673,3342,34,121
1673,3345,35,127
1673,3346,36,127
1673,3347,37,
1673,3348,38,66
1673,3349,39,121
1673,3354,40,127
1673,3355,41,127
1673,3356,42,127
1673,3357,43,127
1673,3358,44,
1673,3359,45,17
1673,3360,46,15
1673,3361,47,139
1673,3362,48,18
1673,3363,49,17
1673,3364,50,160
1673,3365,51,160
1673,3366,52,91
1673,3368,53,10
1673,3369,54,127
1674,2963,1,27
1674,3350,2,
1674,3351,3,38
1674,3352,4,20
1674,3353,5,34
1675,2985,1,2
1675,2988,2,2
1675,3206,3,61
1675,3293,4,60
1675,3294,5,57
1675,3295,6,57
1675,3296,7,57
1675,3297,8,57
1675,3298,9,265
1675,3299,10,35
1675,3300,11,77
1675,3301,12,63
1675,3302,13,63
1675,3303,14,63
1675,3304,15,37
1675,3305,16,65
1675,3306,17,68
1675,3307,18,39
1675,3308,19,39
1675,3309,20,65
1675,3310,21,23
1675,3311,22,61
1675,3312,23,32
1675,3313,24,68
1675,3318,25,18
1675,3319,26,68
1675,3323,27,14
1675,3339,28,107
1675,3343,29,91
1675,3344,30,88
1675,3384,31,55
1675,3385,32,12
1675,3390,33,33
1676,2966,1,
1676,2969,2,
1676,2970,3,
1676,2979,4,28
1676,2980,5,
1676,2981,6,
1676,2982,7,
1676,2987,8,40
1676,2989,9,36
1676,3010,10,
1676,3011,11,
1676,3012,12,
1676,3013,13,
1676,3014,14,
1676,3015,15,
1676,3016,16,
1676,3017,17,18
1676,3018,18,
1676,3019,19,
1676,3020,20,
1676,3021,21,
1676,3022,22,
1676,3023,23,
1676,3024,24,
1676,3126,25,104
1676,3129,26,83
1676,3131,27,28
1676,3132,28,56
1676,3133,29,
1676,3134,30,23
1676,3135,31,
1676,3136,32,
1676,3137,33,
1676,3138,34,
1676,3139,35,
1676,3140,36,
1676,3141,37,14
1676,3142,38,8
1676,3143,39,
1676,3144,40,82
1676,3207,41,
1676,3208,42,
1676,3209,43,
1676,3210,44,
1676,3211,45,
1676,3212,46,
1676,3213,47,20
1676,3214,48,10
1676,3225,49,27
1676,3226,50,39
1676,3227,51,36
1676,3228,52,38
1676,3229,53,13
1676,3230,54,13
1676,3232,55,28
1676,3235,56,28
1676,3236,57,24
1676,3237,58,40
1676,3239,59,37
1676,3240,60,7
1676,3241,61,31
1676,3244,62,11
1676,3245,63,25
1676,3248,64,10
1676,3249,65,8
1676,3250,66,17
1676,3251,67,10
1676,3315,68,28
1676,3320,69,14
1676,3321,70,16
1676,3325,71,6
1676,3326,72,19
1676,3327,73,5
1676,3328,74,57
1676,3331,75,39
1676,3332,76,15
1676,3333,77,5
1676,3335,78,3
1676,3336,79,8
1676,3337,80,5
1676,3338,81,28
1676,3340,82,5
1676,3341,83,5
1677,3382,1,
1677,3387,2,
1677,3388,3,101
1677,3389,4,30
1678,3073,1,41
1678,3075,2,24
1678,3078,3,43
1678,3079,4,18
1678,3088,5,48
1678,3089,6,31
1678,3090,7,74
1678,3092,8,80
1678,3093,9,99
1678,3095,10,12
1678,3097,11,64
1678,3098,12,32
1678,3197,13,9
1678,3198,14,16
1678,3199,15,117
1678,3200,16,16
1678,3202,17,16
1678,3261,18,37
1678,3262,19,44
1678,3263,20,100
1678,3264,21,46
1678,3265,22,13
1678,3266,23,48
1678,3267,24,76
1678,3268,25,26
1678,3269,26,21
1678,3270,27,21
1678,3271,28,16
1678,3272,29,59
1678,3273,30,28
1678,3274,31,52
1678,3275,32,19
1678,3276,33,82
1678,3277,34,85
1678,3278,35,53
1678,3279,36,27
1678,3280,37,43
1678,3281,38,58
1678,3282,39,111
1678,3283,40,54
1678,3284,41,19
1678,3285,42,23
1678,3286,43,13
1678,3287,44,128
1679,3145,1,79
1679,3146,2,
1679,3147,3,95
1679,3148,4,32
1679,3149,5,
1679,3150,6,
1679,3151,7,
1679,3152,8,104
1679,3153,9,61
1679,3154,10,63
1679,3155,11,56
1679,3156,12,47
1679,3157,13,35
1679,3158,14,21
1679,3203,15,31
1679,3204,16,55
1679,3205,17,39
1680,3074,1,212
1680,3076,2,212
1680,3077,3,91
1680,3080,4,104
1680,3081,5,16
1680,3082,6,72
1680,3083,7,17
1680,3084,8,30
1680,3085,9,585
1680,3086,10,14
1680,3087,11,78
1680,3121,12,27
1680,3122,13,
1680,3123,14,36
1680,3124,15,76
1680,3125,16,15
1680,3317,17,44
1681,3066,1,562
1681,3167,2,196
1681,3168,3,95
1681,3169,4,501
1681,3170,5,159
1681,3171,6,292
1681,3172,7,241
1681,3173,8,571
1682,3051,1,84
1682,3052,2,
1682,3053,3,
1682,3054,4,
1682,3091,5,
1682,3094,6,101
1682,3096,7,
1682,3099,8,51
1682,3101,9,37
1682,3370,10,
1682,3383,11,22
1682,3386,12,107
1682,3393,13,10
1682,3394,14,
1683,2984,1,3
1683,2990,2,1
1683,2991,3,8
1683,2992,4,2
1683,2993,5,20
1683,2994,6,34
1683,2995,7,51
1683,2996,8,48
1683,2997,9,18
1683,2998,10,27
1683,2999,11,27
1683,3000,12,51
1683,3001,13,48
1683,3002,14,20
1683,3003,15,30
1683,3004,16,28
1683,3005,17,18
1683,3006,18,44
1683,3007,19,186
1683,3008,20,29
1683,3113,21,18
1683,3114,22,32
1683,3115,23,12
1683,3116,24,43
1683,3117,25,
1683,3118,26,7
1683,3454,27,14
1683,3455,28,30
1683,3456,29,36
1683,3457,30,36
1683,3458,31,76
1683,3459,32,46
1683,3460,33,47
1683,3461,34,40
1683,3462,35,48
1683,3463,36,43
1683,3464,37,68
1683,3465,38,64
1683,3466,39,49
1683,3467,40,23
1683,3468,41,25
1683,3469,42,30
1683,3470,43,3
1683,3471,44,34
1683,3472,45,24
1683,3473,46,22
1683,3474,47,70
1683,3475,48,123
1684,3127,1,9
1684,3128,2,30
1684,3130,3,32
1684,3165,4,11
1684,3166,5,7
1685,3046,1,30
1685,3047,2,44
1685,3048,3,44
1685,3049,4,40
1685,3100,5,33
1685,3367,6,
1686,2971,1,
1686,2973,2,4
1686,2974,3,25
1686,2976,4,
1686,2977,5,
1686,3413,6,13
1686,3414,7,9
1686,3415,8,7
1686,3416,9,8
1686,3417,10,15
1686,3418,11,112
1686,3419,12,216
1686,3420,13,281
1686,3421,14,34
1686,3422,15,7
1686,3423,16,105
1686,3424,17,149
1686,3425,18,9
1686,3426,19,20
1686,3427,20,7
1686,3428,21,
1686,3429,22,13
1686,3430,23,3
1686,3431,24,
1686,3432,25,6
1686,3433,26,9
1686,3434,27,9
1686,3435,28,9
1686,3436,29,9
1686,3437,30,
1686,3438,31,6
1686,3439,32,6
1686,3440,33,6
1686,3441,34,6
1686,3442,35,6
1686,3443,36,6
1686,3444,37,15
1686,3445,38,11
1686,3446,39,11
1686,3447,40,11
1686,3448,41,11
1686,3449,42,6
1686,3450,43,8
1686,3451,44,8
1686,3452,45,8
1686,3453,46,8
1687,2968,1,
1687,2972,2,76
1687,2975,3,
1688,3102,1,187
1688,3103,2,69
1688,3104,3,42
1688,3105,4,189
1688,3106,5,108
1688,3107,6,110
1688,3108,7,339
1688,3109,8,211
1688,3110,9,23
1688,3111,10,13
1688,3112,11,29
1688,3159,12,55
1688,3160,13,25
1688,3161,14,55
1688,3162,15,192
1688,3163,16,32
1688,3164,17,92
1688,3371,18,175
1688,3372,19,206
1688,3373,20,114
1688,3374,21,150
1688,3375,22,287
1688,3376,23,49
1688,3377,24,122
1688,3378,25,213
1688,3379,26,69
1689,2965,1,22
1689,2978,2,
1689,2983,3,11
1689,2986,4,11
1689,3397,5,163
1689,3398,6,63
1689,3399,7,19
1689,3400,8,12
1689,3401,9,7
1689,3402,10,28
1689,3403,11,324
1689,3404,12,
1689,3405,13,2
1689,3406,14,10
1689,3407,15,4
1689,3408,16,15
1689,3409,17,7
1689,3410,18,16
1689,3411,19,16
1689,3412,20,52
1690,3009,1,37
1690,3215,2,431
1690,3216,3,595
1690,3217,4,349
1690,3218,5,46
1690,3219,6,12
1690,3220,7,105
1690,3221,8,316
1690,3222,9,42
1690,3223,10,525
1690,3224,11,74
1690,3231,12,5
1690,3233,13,40
1690,3234,14,40
1690,3238,15,52
1690,3242,16,23
1690,3243,17,17
1690,3246,18,61
1690,3252,19,72
1690,3253,20,31
1690,3254,21,37
1690,3255,22,26
1690,3256,23,45
1690,3257,24,27
1690,3258,25,55
